Parcel,Address,Property Class,Property Use,Assessment Area,Current Year Land Value,Current Year Improvement Value,Current Year Total Value,Previous Year Land Value,Previous Year Improvment Value,Previous Year Total Value,Net Taxes,Special Assessment,Other Charges,Total Taxes,Zoning 1,Zoning 2,Zoning 3,Zoning 4,Lot Size Sq Ft,Frontage Street,Frontage Street Feet,Water Frontage,TIF District,School District,Elementary School,Middle School,High School,Ward,State Assembly District,Refuse District,Collection Schedule URL,Home Style,Year Built,Stories,Dwelling Units,Bedrooms,Full Baths,Half Baths,Fireplaces,Central Air,First Floor Living Area,Second Floor Living Area,Third Floor Living Area,Above Third Floor Living Area,Total Living Area,Finished Attic,Finished Basement,Total Basement,Crawl Space,Exterior Wall 1,Exterior Wall 2,Foundation,Roof,Roof Replaced Year,Garage 1,Garage Stalls 1,Garage2,Garage Stalls 2,Driveway,Shared Drive,Legal Description,Other Structure 1,Other Structure 1 Sq Ft,Other Structure 2,Other Structure 2 Sq Ft,Other Structure 3,Other Structure 3 Sq Ft,Other Structure 4,Other Structure 4 Sq Ft,Other Structure 5,Other Structure 5 Sq Ft,Other Structure 6,Other Structure 6 Sq Ft,Additional Buildings,Notation Parcel,Lot,Block
070929104118,4409 Woods End,Residential,Single family,57,$75600.00,$254500.00,$330100.00,$73400.00,$247100.00,$320500.00,$7555.50,$0.00,$0.00,$7555.50,SR-C1,,,,8879,Woods End,74,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Colonial,1961,2,1,4,2,1,1,true,1039,994,0,0,2033,0,523,1120,0,Aluminum/Vinyl,Masonry Facing,Concrete,Asphalt,2013,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADD TO MIDVALE HEIGHTS, LOT 21",Open Porch,72,Screen Porch,150,Patio,300,,0,,0,,0,false,070929104118,0,0
070929104126,4413 Woods End,Residential,Single family,57,$75600.00,$294200.00,$369800.00,$73400.00,$285600.00,$359000.00,$8488.21,$0.00,$0.00,$8488.21,SR-C1,,,,8879,Woods End,74,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1962,2,1,4,3,1,1,true,1314,1037,0,0,2351,0,760,1314,0,Aluminum/Vinyl,Masonry Facing,Concrete,Asphalt,2007,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADD. TO MIDVALE HEIGHT S, LOT 20",Open Porch,124,Patio,280,,0,,0,,0,,0,false,070929104126,0,0
070929104134,4501 Woods End,Residential,Single family,57,$84200.00,$239800.00,$324000.00,$81700.00,$232900.00,$314600.00,$7412.56,$0.00,$0.00,$7412.56,SR-C1,,,,9839,Woods End,82,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1961,2,1,4,2,0,1,true,1412,752,0,0,2164,0,495,1412,0,Wood,Masonry Facing,Concrete,Asphalt,2008,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADDITION TO MIDVALE HEIGHTS, LOT 19",Open Porch,99,Screen Porch,110,Patio,300,,0,,0,,0,false,070929104134,0,0
070929104142,4505 Woods End,Residential,Single family,57,$94300.00,$265700.00,$360000.00,$91600.00,$263600.00,$355200.00,$8396.15,$0.00,$0.00,$8396.15,SR-C1,,,,11173,Woods End,91.66,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1961,2,1,4,3,1,2,true,1491,1150,0,0,2641,0,350,1491,0,Aluminum/Vinyl,Masonry Facing,Concrete,Asphalt,2009,Attached,2.5,,0,Concrete,false,"FRANK PIPER WOODS ADD. TO MIDVALE HEIGHT S, LOT 18",Open Porch,186,Encl Porch,250,Deck,576,,0,,0,,0,false,070929104142,0,0
070929104150,4509 Woods End,Residential,Single family,57,$96100.00,$288700.00,$384800.00,$93300.00,$291500.00,$384800.00,$9113.25,$0.00,$0.00,$9113.25,SR-C1,,,,13209,Woods End,50,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,New style modern international,1961,1.5,1,4,4,0,2,true,2260,500,0,0,2760,0,634,1179,1081,Wood,,Concrete,Asphalt,2008,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADD TO MIDVALE HEIGHTS, LOT 17",Patio,720,Deck,350,,0,,0,,0,,0,false,070929104150,0,0
070929104168,4514 Woods End,Residential,Single family,57,$83900.00,$281600.00,$365500.00,$81500.00,$284000.00,$365500.00,$8645.68,$0.00,$0.00,$8645.68,SR-C1,,,,11264,Woods End,50,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1961,1,1,5,3,0,2,true,2108,0,0,0,2108,0,1408,2318,0,Wood,Masonry Facing,Concrete,Asphalt,2009,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADD TO MIDVALE HEIGHTS, LOT 16",Screen Porch,210,Patio,150,,0,,0,,0,,0,false,070929104168,0,0
070929104176,4510 Woods End,Residential,Single family,57,$92200.00,$243500.00,$335700.00,$89500.00,$236400.00,$325900.00,$7686.32,$0.00,$0.00,$7686.32,SR-C1,,,,13302,Woods End,50,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Colonial,1962,1.5,1,5,2,1,2,true,1360,900,0,0,2260,0,627,1360,0,Wood,,Concrete,Asphalt,2004,Attached,2,,0,Asphalt,false,"FRANK PIPER WOODS ADD. TO MIDVALE HEIGHTS, LOT 15",Patio,154,Deck,300,,0,,0,,0,,0,false,070929104176,0,0
070929104184,4506 Woods End,Residential,Single family,57,$96400.00,$277300.00,$373700.00,$93600.00,$269200.00,$362800.00,$8580.27,$0.00,$0.00,$8580.27,SR-C1,,,,11075,Woods End,89.52,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Cape Cod,1965,1.5,1,5,2,2,2,false,1794,1115,0,0,2909,0,728,1644,150,Cement Fiberbd,,Concrete,Asphalt,2007,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADD. TO MIDVALE HEIGHT S, LOT 14",Open Porch,88,Deck,524,,0,,0,,0,,0,false,070929104184,0,0
070929104192,4502 Woods End,Residential,Single family,57,$84200.00,$178500.00,$262700.00,$81700.00,$173300.00,$255000.00,$5968.68,$0.00,$0.00,$5968.68,SR-C1,,,,9839,Woods End,82,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1961,1,1,3,2,0,2,true,1716,0,0,0,1716,0,538,1716,0,Wood,Masonry Facing,Concrete,Asphalt,1961,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADD TO MIDVALE HEIGHTS, LOT 13",Patio,270,,0,,0,,0,,0,,0,false,070929104192,0,0
070929104209,4414 Woods End,Residential,Single family,57,$77700.00,$232000.00,$309700.00,$75400.00,$225300.00,$300700.00,$7075.82,$0.00,$0.00,$7075.82,SR-C1,,,,8879,Woods End,74,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1961,2,1,4,3,1,2,true,1018,1252,0,0,2270,0,608,1018,0,Aluminum/Vinyl,Masonry Facing,Concrete,Asphalt,1997,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADD TO MIDVALE HEIGHTS, LOT 12",Open Porch,91,Open Porch,52,Deck,353,,0,,0,,0,false,070929104209,0,0
070929104217,4410 Woods End,Residential,Single family,57,$75600.00,$230900.00,$306500.00,$73400.00,$224200.00,$297600.00,$7000.72,$0.00,$0.00,$7000.72,SR-C1,,,,8843,Woods End,73.7,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1962,2,1,3,3,1,1,true,1095,938,0,0,2033,0,600,871,0,Aluminum/Vinyl,Masonry Facing,Concrete,Asphalt,2008,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADD TO MIDVALE HEIGHTS, LOT 11",Deck,168,,0,,0,,0,,0,,0,false,070929104217,0,0
070929104225,4406 Woods End,Residential,Single family,57,$75600.00,$257400.00,$333000.00,$73400.00,$249900.00,$323300.00,$7623.33,$0.00,$0.00,$7623.33,SR-C1,,,,8843,Woods End,73.7,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1965,2,1,5,3,1,1,false,1279,1620,0,0,2899,0,437,1267,0,Aluminum/Vinyl,Masonry Facing,Concrete,Asphalt,1965,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADD TO MIDVALE HEIGHTS, LOT 10",Open Porch,271,Screen Porch,164,Deck,164,,0,,0,,0,false,070929104225,0,0
070929104233,4402 Woods End,Residential,Single family,57,$65700.00,$192400.00,$258100.00,$63800.00,$186800.00,$250600.00,$5862.08,$0.00,$0.00,$5862.08,SR-C1,,,,8616,Woods End,72.58,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1961,2,1,4,1,2,2,true,944,869,0,0,1813,0,312,966,0,Aluminum/Vinyl,Masonry Facing,Concrete,Asphalt,2002,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADDITION TO MIDVALE HE IGHTS, LOT 9",Open Porch,64,Encl Porch,115,Patio,349,,0,,0,,0,false,070929104233,0,0
070929104241,402 S Midvale Blvd,Residential,Single family,57,$58800.00,$172400.00,$231200.00,$57100.00,$167400.00,$224500.00,$5229.77,$0.00,$0.00,$5229.77,SR-C1,,,,9652,S Midvale Blvd,138.4,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Cape Cod,1962,1.5,1,4,2,0,1,false,1198,700,0,0,1898,0,322,1198,0,Aluminum/Vinyl,Masonry Facing,Concrete,Asphalt,2012,Attached,2,,0,Asphalt,false,"FRANK PIPER WOODS ADD TO MIDVALE HEIGHTS, LOT 8",Open Porch,216,Encl Porch,208,,0,,0,,0,,0,false,070929104241,0,0
070929104259,4405 Mineral Point Rd,Residential,Single family,57,$58800.00,$158600.00,$217400.00,$58800.00,$158600.00,$217400.00,$5057.77,$59.42,$0.00,$5117.19,SR-C1,,,,9714,Mineral Point Rd,73.9,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1963,1,1,3,2,0,1,true,1782,0,0,0,1782,0,0,1241,0,Wood,,Concrete,Asphalt,2002,Attached,2,,0,Asphalt,false,"FRANK PIPER WOODS ADD TO MIDVALE HEIGHTS, LOT 7",Deck,324,,0,,0,,0,,0,,0,false,070929104259,0,0
070929104267,4409 Mineral Point Rd,Residential,Single family,57,$57500.00,$207100.00,$264600.00,$57500.00,$207100.00,$264600.00,$6201.25,$49.20,$0.00,$6250.45,SR-C1,,,,9377,Mineral Point Rd,73.9,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1965,2,1,5,2,1,2,true,1062,1176,0,0,2238,0,336,942,0,Wood,Masonry Facing,Concrete,Asphalt,1965,Attached,2,,0,Asphalt,false,"FRANK PIPER WOODS ADD TO MIDVALE HEIGHTS, LOT 6",Open Porch,80,Patio,120,,0,,0,,0,,0,false,070929104267,0,0
070929104275,4413 Mineral Point Rd,Residential,Single family,57,$57100.00,$174900.00,$232000.00,$57100.00,$174900.00,$232000.00,$5411.47,$0.00,$0.00,$5411.47,SR-C1,,,,9403,Mineral Point Rd,74.1,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1962,2,1,4,1,1,1,true,940,828,0,0,1768,0,300,940,0,Wood,,Concrete,Asphalt,2011,Attached,2,,0,Asphalt,false,"FRANK PIPER WOODS ADD TO MIDVALE HEIGHTS, LOT 5",Open Porch,164,Screen Porch,120,,0,,0,,0,,0,false,070929104275,0,0
070929104283,4501 Mineral Point Rd,Residential,Single family,57,$62800.00,$157200.00,$220000.00,$62800.00,$157200.00,$220000.00,$5120.76,$0.00,$0.00,$5120.76,SR-C1,,,,9895,Mineral Point Rd,82,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1962,1,1,3,2,0,1,true,1769,0,0,0,1769,0,454,1652,0,Aluminum/Vinyl,Masonry Facing,Concrete,Asphalt,2003,Attached,1,,0,Concrete,false,"FRANK PIPER WOODS ADD TO MIDVALE HEIGHTS, LOT 4",Open Porch,57,Patio,400,,0,,0,,0,,0,false,070929104283,0,0
070929104291,4505 Mineral Point Rd,Residential,Single family,57,$59400.00,$192300.00,$251700.00,$59400.00,$192300.00,$251700.00,$5888.73,$90.55,$0.00,$5979.28,SR-C1,,,,9394,Mineral Point Rd,78,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1961,2,1,4,1,1,0,true,864,864,0,0,1728,0,275,864,0,Wood,,Concrete,Asphalt,2000,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADD TO MIDVALE HEIGHTS, LOT 3",,0,,0,,0,,0,,0,,0,false,070929104291,0,0
070929104308,4509 Mineral Point Rd,Residential,Single family,57,$59400.00,$171200.00,$230600.00,$59400.00,$171200.00,$230600.00,$5377.55,$0.00,$0.00,$5377.55,SR-C1,,,,9377,Mineral Point Rd,78,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1962,2,1,4,1,1,0,true,864,864,0,0,1728,0,263,864,0,Wood,Masonry Facing,Concrete,Asphalt,1962,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADDITION TO MIDVALE HE IGHTS, LOT 2",,0,,0,,0,,0,,0,,0,false,070929104308,0,0
070929104316,4513 Mineral Point Rd,Residential,Single family,57,$60400.00,$222300.00,$282700.00,$60400.00,$222300.00,$282700.00,$6639.74,$0.00,$0.00,$6639.74,SR-C1,,,,9462,Mineral Point Rd,78.99,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1964,2,1,4,2,2,2,true,988,988,0,0,1976,0,450,988,0,Wood,Masonry Facing,Concrete,Asphalt,1995,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADD TO MIDVALE HTS, LOT 1",Open Porch,152,Enc-Fin Porch,336,,0,,0,,0,,0,false,070929104316,0,0
070929105017,4509 Keating Ter,Residential,Single family,57,$80300.00,$186500.00,$266800.00,$78000.00,$181000.00,$259000.00,$6065.58,$0.00,$0.00,$6065.58,SR-C1,,,,9832,Keating Ter,130,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1954,1,1,3,1,1,1,true,1366,0,0,0,1366,0,380,1366,0,Brick,,Concrete,Asphalt,1997,Attached,2,,0,Concrete,false,"1ST ADD MIDVALE HGTS, LOT 38",Encl Porch,140,,0,,0,,0,,0,,0,false,070929105017,0,0
070929105025,441 Woodside Ter,Residential,Single family,57,$76600.00,$187700.00,$264300.00,$74400.00,$182200.00,$256600.00,$6007.44,$0.00,$0.00,$6007.44,SR-C1,,,,9359,Woodside Ter,72,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Cape Cod,1954,1.5,1,4,2,0,1,false,1170,700,0,0,1870,0,312,1170,0,Aluminum/Vinyl,Masonry Facing,Concrete,Asphalt,1954,Attached,1,,0,Concrete,false,"1ST ADD MIDVALE HGTS, LOT 37",Open Porch,45,Encl Porch,162,Patio,204,,0,,0,,0,false,070929105025,0,0
070929105033,445 Woodside Ter,Residential,Single family,57,$76600.00,$158400.00,$235000.00,$74400.00,$153800.00,$228200.00,$5319.41,$0.00,$0.00,$5319.41,SR-C1,,,,9359,Woodside Ter,72,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1954,1,1,3,2,0,1,true,1149,0,0,0,1149,0,256,1149,0,Wood,,Concrete,Asphalt,2007,Attached,1,,0,Concrete,false,"1ST ADD MIDVALE HGTS, LOT 36",Deck,242,,0,,0,,0,,0,,0,false,070929105033,0,0
070929105041,449 Woodside Ter,Residential,Single family,57,$76600.00,$210200.00,$286800.00,$74400.00,$204000.00,$278400.00,$6535.57,$0.00,$0.00,$6535.57,SR-C1,,,,9359,Woodside Ter,72,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1955,1,1,4,2,1,1,true,1638,0,0,0,1638,0,529,1638,0,Wood,Masonry Facing,Concrete,Asphalt,1998,Attached,1,,0,Concrete,false,"1ST ADD MIDVALE HGTS, LOT 35",Open Porch,74,Deck,138,,0,,0,,0,,0,false,070929105041,0,0
070929105059,453 Woodside Ter,Residential,Single family,57,$76600.00,$171900.00,$248500.00,$74400.00,$166900.00,$241300.00,$5636.78,$0.00,$0.00,$5636.78,SR-C1,,,,9359,Woodside Ter,72,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1954,1,1,3,1,1,1,true,1160,0,0,0,1160,0,1100,1160,0,Brick,,Concrete,Asphalt,1954,Attached,1,,0,Asphalt,false,"1ST ADD MIDVALE HGTS, LOT 34",Open Porch,120,,0,,0,,0,,0,,0,false,070929105059,0,0
070929105067,457 Woodside Ter,Residential,Single family,57,$76600.00,$254300.00,$330900.00,$74400.00,$246900.00,$321300.00,$7574.88,$0.00,$0.00,$7574.88,SR-C1,,,,9359,Woodside Ter,72,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Split-level,1957,1,1,3,1,2,2,false,1701,0,0,0,1701,0,675,1678,0,Aluminum/Vinyl,,Concrete Block,Asphalt,2006,Basement,2,,0,Asphalt,false,"1ST ADD MIDVALE HGTS, LOT 44",Patio,144,,0,,0,,0,,0,,0,false,070929105067,0,0
070929105075,461 Woodside Ter,Residential,Single family,57,$76600.00,$226800.00,$303400.00,$74400.00,$220200.00,$294600.00,$6928.04,$0.00,$0.00,$6928.04,SR-C1,,,,9359,Woodside Ter,72,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1954,2,1,3,3,0,1,true,1514,532,0,0,2046,0,364,1342,0,Wood,,Concrete,Asphalt,2007,Attached,1,,0,Concrete,false,"MIDVALE HEIGHTS FIRST ADDITION, LOT 32",Patio,80,Deck,147,,0,,0,,0,,0,false,070929105075,0,0
070929105083,465 Woodside Ter,Residential,Single family,57,$78300.00,$201700.00,$280000.00,$76000.00,$195800.00,$271800.00,$6375.68,$0.00,$0.00,$6375.68,SR-C1,,,,9879,Woodside Ter,76,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Ranch,1954,1,1,3,1,1,2,true,1793,0,0,0,1793,0,0,1601,0,Wood,,Concrete,Asphalt,2011,Attached,1,,0,Concrete,false,"1ST ADD MIDVALE HGTS, LOT 31",Patio,95,,0,,0,,0,,0,,0,false,070929105083,0,0
